accession_sra	dataset	layout
SRR771478	Chromatin_remodellers_MNaseseq_PRJNA192582	PE
SRR771479	Chromatin_remodellers_MNaseseq_PRJNA192582	PE
SRR771483	Chromatin_remodellers_MNaseseq_PRJNA192582	PE
SRR771486	Chromatin_remodellers_MNaseseq_PRJNA192582	PE
SRR771484	Chromatin_remodellers_MNaseseq_PRJNA192582	PE
SRR771487	Chromatin_remodellers_MNaseseq_PRJNA192582	PE
SRR771489	Chromatin_remodellers_MNaseseq_PRJNA192582	PE
SRR771490	Chromatin_remodellers_MNaseseq_PRJNA192582	PE
SRR771491	Chromatin_remodellers_MNaseseq_PRJNA192582	PE
SRR7586910	RSC_Sth1_depletion_MNaseseq_PRJNA482622	PE
SRR7586904	RSC_Sth1_depletion_MNaseseq_PRJNA482622	PE
SRR7586901	RSC_Sth1_depletion_MNaseseq_PRJNA482622	PE
SRR7586917	RSC_Sth1_depletion_MNaseseq_PRJNA482622	PE
SRR7586908	RSC_Sth1_depletion_MNaseseq_PRJNA482622	PE
SRR6059804	H2A.Z_ChIPseq_PRJNA411816	PE
SRR6059805	H2A.Z_ChIPseq_PRJNA411816	PE
SRR6059806	H2A.Z_ChIPseq_PRJNA411816	PE
SRR6059807	H2A.Z_ChIPseq_PRJNA411816	PE
SRR6059808	H2A.Z_ChIPseq_PRJNA411816	PE
SRR6059809	H2A.Z_ChIPseq_PRJNA411816	PE
